kernel,n_attempted,n_completed,n_distinct_dumps,modal_dump_hash,modal_dump_freq,distinct_dumps_freqs_json
accum_add_16,49,49,1,51e6027369f02c9ed329ece1a7aae2083025faea,49,"{""51e6027369f02c9ed329ece1a7aae2083025faea"": 49}"
accum_add_32,49,49,1,4cbb1659c00bdeff65bfda2f21799e8ccb1319e6,49,"{""4cbb1659c00bdeff65bfda2f21799e8ccb1319e6"": 49}"
accum_add_4,49,49,1,9ae3fbf61a39285051652a392906c81fafdc6fc5,49,"{""9ae3fbf61a39285051652a392906c81fafdc6fc5"": 49}"
accum_add_64,49,49,1,c8f9b72cd07c097c7a0e0dfa8dd7ba759a9a3995,49,"{""c8f9b72cd07c097c7a0e0dfa8dd7ba759a9a3995"": 49}"
accum_add_8,49,49,1,7d5b06702c113373a40f10682b18abf9abfbb09c,49,"{""7d5b06702c113373a40f10682b18abf9abfbb09c"": 49}"
accum_add_96,49,49,1,4ec66632e089cc6fa6273011310a37f625d12dca,49,"{""4ec66632e089cc6fa6273011310a37f625d12dca"": 49}"
accum_and_16,49,49,1,96d02e012b9aa9c62ccfd7b16dbecbc754878b21,49,"{""96d02e012b9aa9c62ccfd7b16dbecbc754878b21"": 49}"
accum_and_32,49,49,1,96d02e012b9aa9c62ccfd7b16dbecbc754878b21,49,"{""96d02e012b9aa9c62ccfd7b16dbecbc754878b21"": 49}"
accum_and_4,49,49,1,96d02e012b9aa9c62ccfd7b16dbecbc754878b21,49,"{""96d02e012b9aa9c62ccfd7b16dbecbc754878b21"": 49}"
accum_and_64,49,49,1,96d02e012b9aa9c62ccfd7b16dbecbc754878b21,49,"{""96d02e012b9aa9c62ccfd7b16dbecbc754878b21"": 49}"
accum_and_8,49,49,1,96d02e012b9aa9c62ccfd7b16dbecbc754878b21,49,"{""96d02e012b9aa9c62ccfd7b16dbecbc754878b21"": 49}"
accum_and_96,49,49,1,96d02e012b9aa9c62ccfd7b16dbecbc754878b21,49,"{""96d02e012b9aa9c62ccfd7b16dbecbc754878b21"": 49}"
accum_or_16,49,49,1,6de921b0fbaaadb209b40f79329b1e500530a20c,49,"{""6de921b0fbaaadb209b40f79329b1e500530a20c"": 49}"
accum_or_32,49,49,1,b8eb9d65d3338fcf60773eab27b73109835e5854,49,"{""b8eb9d65d3338fcf60773eab27b73109835e5854"": 49}"
accum_or_4,49,49,1,8a9f1970044838d72a4f3f308663572fd33f57f4,49,"{""8a9f1970044838d72a4f3f308663572fd33f57f4"": 49}"
accum_or_64,49,49,1,32258f300335c796be438b4a26ff9025d6040b3a,49,"{""32258f300335c796be438b4a26ff9025d6040b3a"": 49}"
accum_or_8,49,49,1,b5f7b1b7791bd5403c1bcae750a77bb7ddd9285e,49,"{""b5f7b1b7791bd5403c1bcae750a77bb7ddd9285e"": 49}"
accum_or_96,49,49,1,32258f300335c796be438b4a26ff9025d6040b3a,49,"{""32258f300335c796be438b4a26ff9025d6040b3a"": 49}"
accum_sub_16,49,49,1,d0b7d7c7a26152e74cb09696ff368975eb292584,49,"{""d0b7d7c7a26152e74cb09696ff368975eb292584"": 49}"
accum_sub_32,49,49,1,ab908bbd1c784ad6b8dc1585313c492bb4b0acd3,49,"{""ab908bbd1c784ad6b8dc1585313c492bb4b0acd3"": 49}"
accum_sub_4,49,49,1,f72acd6ab432494b3e3402dc1995fd3488156c81,49,"{""f72acd6ab432494b3e3402dc1995fd3488156c81"": 49}"
accum_sub_64,49,49,1,bd57ee79e7133bc0cb68a8a851d23a950ea85fca,49,"{""bd57ee79e7133bc0cb68a8a851d23a950ea85fca"": 49}"
accum_sub_8,49,49,1,f4edfb90e3d813589781272a3fa829d2d67a40d8,49,"{""f4edfb90e3d813589781272a3fa829d2d67a40d8"": 49}"
accum_sub_96,49,49,1,405a4e0ac5b11e2461dd3f8f4641216d7e51f1b5,49,"{""405a4e0ac5b11e2461dd3f8f4641216d7e51f1b5"": 49}"
accum_xor_16,49,49,1,4301ff5050ef2e81f6f8d0a5d72572f857495607,49,"{""4301ff5050ef2e81f6f8d0a5d72572f857495607"": 49}"
accum_xor_32,49,49,1,7815fd4018a17667ee46bc09f2191d82357856b1,49,"{""7815fd4018a17667ee46bc09f2191d82357856b1"": 49}"
accum_xor_4,49,49,1,5efbc453219bf761e9eff1a6b53f654fe4ff77df,49,"{""5efbc453219bf761e9eff1a6b53f654fe4ff77df"": 49}"
accum_xor_64,49,49,1,fd738fa600f634f9df10b7131c10d4aac8192927,49,"{""fd738fa600f634f9df10b7131c10d4aac8192927"": 49}"
accum_xor_8,49,49,1,a730c4bb9323081463e1169ed90006647e204707,49,"{""a730c4bb9323081463e1169ed90006647e204707"": 49}"
accum_xor_96,49,49,1,080d7a3227028fa87d56a7511906c269b114d52a,49,"{""080d7a3227028fa87d56a7511906c269b114d52a"": 49}"
deep_chain_16,49,49,1,af2231b551392516bd61500af76193c38ad70dce,49,"{""af2231b551392516bd61500af76193c38ad70dce"": 49}"
deep_chain_32,49,49,1,af2231b551392516bd61500af76193c38ad70dce,49,"{""af2231b551392516bd61500af76193c38ad70dce"": 49}"
deep_chain_64,49,49,1,af2231b551392516bd61500af76193c38ad70dce,49,"{""af2231b551392516bd61500af76193c38ad70dce"": 49}"
load_compute_store_16,49,49,1,e152ea1b35d912fbd906ad036381d7631bf4a929,49,"{""e152ea1b35d912fbd906ad036381d7631bf4a929"": 49}"
load_compute_store_4,49,49,1,acffb5702cf41ab06bbc8cf0ecf1a5bfc3cddf20,49,"{""acffb5702cf41ab06bbc8cf0ecf1a5bfc3cddf20"": 49}"
load_compute_store_8,49,49,1,cae244ef51234ff84b1a0bcf4c50f977635970db,49,"{""cae244ef51234ff84b1a0bcf4c50f977635970db"": 49}"
load_overwrite,49,49,1,494a9dc386998a7d606a149deb5d654b7349c75c,49,"{""494a9dc386998a7d606a149deb5d654b7349c75c"": 49}"
loop_accum_add_128,49,49,1,af2231b551392516bd61500af76193c38ad70dce,49,"{""af2231b551392516bd61500af76193c38ad70dce"": 49}"
loop_accum_add_16,49,49,1,af2231b551392516bd61500af76193c38ad70dce,49,"{""af2231b551392516bd61500af76193c38ad70dce"": 49}"
loop_accum_add_32,49,49,1,af2231b551392516bd61500af76193c38ad70dce,49,"{""af2231b551392516bd61500af76193c38ad70dce"": 49}"
loop_accum_add_64,49,49,1,af2231b551392516bd61500af76193c38ad70dce,49,"{""af2231b551392516bd61500af76193c38ad70dce"": 49}"
loop_accum_add_8,49,49,1,af2231b551392516bd61500af76193c38ad70dce,49,"{""af2231b551392516bd61500af76193c38ad70dce"": 49}"
loop_accum_xor_128,49,49,1,af2231b551392516bd61500af76193c38ad70dce,49,"{""af2231b551392516bd61500af76193c38ad70dce"": 49}"
loop_accum_xor_16,49,49,1,af2231b551392516bd61500af76193c38ad70dce,49,"{""af2231b551392516bd61500af76193c38ad70dce"": 49}"
loop_accum_xor_32,49,49,1,af2231b551392516bd61500af76193c38ad70dce,49,"{""af2231b551392516bd61500af76193c38ad70dce"": 49}"
loop_accum_xor_64,49,49,1,af2231b551392516bd61500af76193c38ad70dce,49,"{""af2231b551392516bd61500af76193c38ad70dce"": 49}"
loop_accum_xor_8,49,49,1,af2231b551392516bd61500af76193c38ad70dce,49,"{""af2231b551392516bd61500af76193c38ad70dce"": 49}"
mixed_add_c0x2A_add_c1,49,49,1,4503251279f4ca3bdd15e98c9eb7134cb90f5982,49,"{""4503251279f4ca3bdd15e98c9eb7134cb90f5982"": 49}"
mixed_add_c0x2A_xor_c0x2A,49,49,1,d38f012b4327f2a7fde00b88bf1f1460c40a1aae,49,"{""d38f012b4327f2a7fde00b88bf1f1460c40a1aae"": 49}"
mixed_add_c0x2A_xor_c1,49,49,1,35a0960259f25ec7b72364f0d28031364e16677d,49,"{""35a0960259f25ec7b72364f0d28031364e16677d"": 49}"
mixed_add_c1_add_c0x2A,49,49,1,4503251279f4ca3bdd15e98c9eb7134cb90f5982,49,"{""4503251279f4ca3bdd15e98c9eb7134cb90f5982"": 49}"
mixed_add_c1_add_c1,49,49,1,27dd0ac6896ee35c0f407e8d5c19c5d599b9c441,49,"{""27dd0ac6896ee35c0f407e8d5c19c5d599b9c441"": 49}"
mixed_add_c1_xor_c0x2A,49,49,1,6b1de3c53885deba4c1f4fff13f154c4d3772f2b,49,"{""6b1de3c53885deba4c1f4fff13f154c4d3772f2b"": 49}"
mixed_add_c1_xor_c1,49,49,1,bbb2f2813d6df19acd027e65de969ab1847fbf8f,49,"{""bbb2f2813d6df19acd027e65de969ab1847fbf8f"": 49}"
mixed_xor_c0x2A_add_c0x2A,49,49,1,bdca3b4409e1713185b6cde9e7814bf7f2ef1212,49,"{""bdca3b4409e1713185b6cde9e7814bf7f2ef1212"": 49}"
mixed_xor_c0x2A_add_c1,49,49,1,328d0baaedd98801e32cf51388f1b933c9d8733a,49,"{""328d0baaedd98801e32cf51388f1b933c9d8733a"": 49}"
mixed_xor_c0x2A_xor_c0x2A,49,49,1,af2231b551392516bd61500af76193c38ad70dce,49,"{""af2231b551392516bd61500af76193c38ad70dce"": 49}"
mixed_xor_c0x2A_xor_c1,49,49,1,affe48013d36c81c688ce3fd026705eab1188f17,49,"{""affe48013d36c81c688ce3fd026705eab1188f17"": 49}"
mixed_xor_c1_add_c0x2A,49,49,1,35a0960259f25ec7b72364f0d28031364e16677d,49,"{""35a0960259f25ec7b72364f0d28031364e16677d"": 49}"
mixed_xor_c1_add_c1,49,49,1,ca15abc93e8424ebe14edba28538cb3056865f2d,49,"{""ca15abc93e8424ebe14edba28538cb3056865f2d"": 49}"
mixed_xor_c1_xor_c0x2A,49,49,1,affe48013d36c81c688ce3fd026705eab1188f17,49,"{""affe48013d36c81c688ce3fd026705eab1188f17"": 49}"
mixed_xor_c1_xor_c1,49,49,1,af2231b551392516bd61500af76193c38ad70dce,49,"{""af2231b551392516bd61500af76193c38ad70dce"": 49}"
regs_pressure_32,49,49,1,a8efe666c77ed18d260c423da851bf914ec3ae36,49,"{""a8efe666c77ed18d260c423da851bf914ec3ae36"": 49}"
regs_pressure_64,49,49,1,474eef46027fd61a1d555000af12cb7f6f0ebf4b,49,"{""474eef46027fd61a1d555000af12cb7f6f0ebf4b"": 49}"
rmw_add_c0x2A,49,49,1,b2e05ab288edfde781bec5a966dc8543cb691476,49,"{""b2e05ab288edfde781bec5a966dc8543cb691476"": 49}"
rmw_add_c1,49,49,1,65b3e459ab860e15178fb99cc6df6b3e6e0ea4a8,49,"{""65b3e459ab860e15178fb99cc6df6b3e6e0ea4a8"": 49}"
rmw_add_c7,49,49,1,9af98a91185dac216a417a4f143cf3d615a91098,49,"{""9af98a91185dac216a417a4f143cf3d615a91098"": 49}"
rmw_and_c0x2A,49,49,1,a71ce7206e8f220c983f204deb9c43458d5bad16,49,"{""a71ce7206e8f220c983f204deb9c43458d5bad16"": 49}"
rmw_and_c1,49,49,1,2c02a39b71b3d79ea3aeacd0dcb15cece07d5887,49,"{""2c02a39b71b3d79ea3aeacd0dcb15cece07d5887"": 49}"
rmw_and_c7,49,49,1,7213d4f91fbe514644a9888d7e88a7f6b7114c31,49,"{""7213d4f91fbe514644a9888d7e88a7f6b7114c31"": 49}"
rmw_idx_add_c0x2A_i0,49,49,1,329072b0eca8d71589508e023c1f7d29c10027d7,49,"{""329072b0eca8d71589508e023c1f7d29c10027d7"": 49}"
rmw_idx_add_c0x2A_i1,49,49,1,6929a343166a5663869316e3a6207d6684caf47f,49,"{""6929a343166a5663869316e3a6207d6684caf47f"": 49}"
rmw_idx_add_c0x2A_i8,49,49,1,2e18ad895f88979cd3905a7e7408dd67ac93687e,49,"{""2e18ad895f88979cd3905a7e7408dd67ac93687e"": 49}"
rmw_idx_add_c1_i0,49,49,1,50b27a3e932e12518e244914865de15647243f84,49,"{""50b27a3e932e12518e244914865de15647243f84"": 49}"
rmw_idx_add_c1_i1,49,49,1,84092f363500d307ab4cb4d589ef1b3461ec5043,49,"{""84092f363500d307ab4cb4d589ef1b3461ec5043"": 49}"
rmw_idx_add_c1_i8,49,49,1,7b4c03a12dec876f7fbc6df08674539bf0330676,49,"{""7b4c03a12dec876f7fbc6df08674539bf0330676"": 49}"
rmw_idx_xor_c0x2A_i0,49,49,1,329072b0eca8d71589508e023c1f7d29c10027d7,49,"{""329072b0eca8d71589508e023c1f7d29c10027d7"": 49}"
rmw_idx_xor_c0x2A_i1,49,49,1,6929a343166a5663869316e3a6207d6684caf47f,49,"{""6929a343166a5663869316e3a6207d6684caf47f"": 49}"
rmw_idx_xor_c0x2A_i8,49,49,1,3d5e5c30f7b80951a643181e04124196c024f8c5,49,"{""3d5e5c30f7b80951a643181e04124196c024f8c5"": 49}"
rmw_idx_xor_c1_i0,49,49,1,50b27a3e932e12518e244914865de15647243f84,49,"{""50b27a3e932e12518e244914865de15647243f84"": 49}"
rmw_idx_xor_c1_i1,49,49,1,7959520cd84548c50efbe42d9fcf00448fb94830,49,"{""7959520cd84548c50efbe42d9fcf00448fb94830"": 49}"
rmw_idx_xor_c1_i8,49,49,1,7b4c03a12dec876f7fbc6df08674539bf0330676,49,"{""7b4c03a12dec876f7fbc6df08674539bf0330676"": 49}"
rmw_mul_c0x2A,49,49,1,53e1ebe23514be9c9ea1e8076e4d0d6a1efea523,49,"{""53e1ebe23514be9c9ea1e8076e4d0d6a1efea523"": 49}"
rmw_mul_c0xDEAD,49,49,1,5431163ea27050700a89b0a97f5158d329e0d79a,49,"{""5431163ea27050700a89b0a97f5158d329e0d79a"": 49}"
rmw_mul_c1,49,49,1,96d02e012b9aa9c62ccfd7b16dbecbc754878b21,49,"{""96d02e012b9aa9c62ccfd7b16dbecbc754878b21"": 49}"
rmw_mul_c7,49,49,1,0224d5879c624ea36a1a63c42c1934600296a4e9,49,"{""0224d5879c624ea36a1a63c42c1934600296a4e9"": 49}"
rmw_or_c0x2A,49,49,1,690300638b63776a9cb7bd4c807d624bbcb1f53d,49,"{""690300638b63776a9cb7bd4c807d624bbcb1f53d"": 49}"
rmw_or_c1,49,49,1,4d819289c53e3f330990b552da2332be167210fa,49,"{""4d819289c53e3f330990b552da2332be167210fa"": 49}"
rmw_or_c7,49,49,1,f42cced820d14b9653e4ce5f87f9a753ae5d72b5,49,"{""f42cced820d14b9653e4ce5f87f9a753ae5d72b5"": 49}"
rmw_sub_c1,49,49,1,da9703c79040a76d9b494249fb2675e82e29263c,49,"{""da9703c79040a76d9b494249fb2675e82e29263c"": 49}"
rmw_sub_c7,49,49,1,71438059eab446b4ad5d623f95ce4fd65c96b972,49,"{""71438059eab446b4ad5d623f95ce4fd65c96b972"": 49}"
rmw_xor_c0x2A,49,49,1,e82e2d02bfdfe41f03819090e16c8306bac1d5b1,49,"{""e82e2d02bfdfe41f03819090e16c8306bac1d5b1"": 49}"
rmw_xor_c1,49,49,1,7670f119f9de497cc94daacf088507f35cb031ef,49,"{""7670f119f9de497cc94daacf088507f35cb031ef"": 49}"
rmw_xor_c7,49,49,1,e9bd322e3690423198ac218feeebaeb55945c18d,49,"{""e9bd322e3690423198ac218feeebaeb55945c18d"": 49}"
store_chain_16,49,49,1,94396d3f933a8935e0772e28c6bfb989a7bb4940,49,"{""94396d3f933a8935e0772e28c6bfb989a7bb4940"": 49}"
store_chain_32,49,49,1,94396d3f933a8935e0772e28c6bfb989a7bb4940,49,"{""94396d3f933a8935e0772e28c6bfb989a7bb4940"": 49}"
store_chain_4,49,49,1,94396d3f933a8935e0772e28c6bfb989a7bb4940,49,"{""94396d3f933a8935e0772e28c6bfb989a7bb4940"": 49}"
store_chain_64,49,49,1,94396d3f933a8935e0772e28c6bfb989a7bb4940,49,"{""94396d3f933a8935e0772e28c6bfb989a7bb4940"": 49}"
store_chain_8,49,49,1,94396d3f933a8935e0772e28c6bfb989a7bb4940,49,"{""94396d3f933a8935e0772e28c6bfb989a7bb4940"": 49}"
store_then_load,49,49,1,67a68a3644a7e31f6618b8bcaa20f4d3279ce742,49,"{""67a68a3644a7e31f6618b8bcaa20f4d3279ce742"": 49}"
storeload_c0x2A_c1,49,49,1,9f5c9389bf858b77c3da103279b194c9c5c4f28c,49,"{""9f5c9389bf858b77c3da103279b194c9c5c4f28c"": 49}"
storeload_c0x2A_c7,49,49,1,649c57cb89810f67c86344de91290b78421246b6,49,"{""649c57cb89810f67c86344de91290b78421246b6"": 49}"
storeload_c0xDEAD_c1,49,49,1,7c6cfb52afb289588f5013950477f6d5ddc9707c,49,"{""7c6cfb52afb289588f5013950477f6d5ddc9707c"": 49}"
storeload_c0xDEAD_c7,49,49,1,07fc06155a585d25e65b0ba54356d4f6f548cdcb,49,"{""07fc06155a585d25e65b0ba54356d4f6f548cdcb"": 49}"
storeload_c1_c1,49,49,1,06ffd8da250616c7098c3c13a0ddf178fd681d90,49,"{""06ffd8da250616c7098c3c13a0ddf178fd681d90"": 49}"
storeload_c1_c7,49,49,1,321df08430d8e302759c45a54d48f63faf5f8c6a,49,"{""321df08430d8e302759c45a54d48f63faf5f8c6a"": 49}"
two_buf_add,49,49,1,29a54bfd8feeb31c396a1aa5fb6cd069c1c72b30,49,"{""29a54bfd8feeb31c396a1aa5fb6cd069c1c72b30"": 49}"
two_buf_and,49,49,1,96d02e012b9aa9c62ccfd7b16dbecbc754878b21,49,"{""96d02e012b9aa9c62ccfd7b16dbecbc754878b21"": 49}"
two_buf_mul,49,49,1,23ecf556aa40fb26a7bdc4b24dfc1c4ffb54e070,49,"{""23ecf556aa40fb26a7bdc4b24dfc1c4ffb54e070"": 49}"
two_buf_or,49,49,1,42eaf73f325cb3b563752f63cdccbfc26b4cd596,49,"{""42eaf73f325cb3b563752f63cdccbfc26b4cd596"": 49}"
two_buf_sub,49,49,1,542f312ca4afeca708457c46e67c3d73b8303239,49,"{""542f312ca4afeca708457c46e67c3d73b8303239"": 49}"
two_buf_xor,49,49,1,a8efe666c77ed18d260c423da851bf914ec3ae36,49,"{""a8efe666c77ed18d260c423da851bf914ec3ae36"": 49}"
