family,counter,depth,count
accum_n_distinct,vmcnt,0,60
accum_n_distinct,vmcnt,1,6
accum_n_distinct,vmcnt,2,30
accum_n_distinct,vmcnt,3,5
accum_n_distinct,vmcnt,4,25
accum_n_distinct,vmcnt,5,5
accum_n_distinct,vmcnt,6,25
accum_n_distinct,vmcnt,7,4
accum_n_distinct,vmcnt,8,20
accum_n_distinct,vmcnt,9,4
accum_n_distinct,vmcnt,10,20
accum_n_distinct,vmcnt,11,4
accum_n_distinct,vmcnt,12,20
accum_n_distinct,vmcnt,13,4
accum_n_distinct,vmcnt,14,20
accum_n_distinct,vmcnt,15,3
accum_n_distinct,vmcnt,16,15
accum_n_distinct,vmcnt,17,3
accum_n_distinct,vmcnt,18,15
accum_n_distinct,vmcnt,19,3
accum_n_distinct,vmcnt,20,15
accum_n_distinct,vmcnt,21,3
accum_n_distinct,vmcnt,22,15
accum_n_distinct,vmcnt,23,3
accum_n_distinct,vmcnt,24,15
accum_n_distinct,vmcnt,25,3
accum_n_distinct,vmcnt,26,15
accum_n_distinct,vmcnt,27,3
accum_n_distinct,vmcnt,28,15
accum_n_distinct,vmcnt,29,3
accum_n_distinct,vmcnt,30,15
accum_n_distinct,vmcnt,31,2
accum_n_distinct,vmcnt,32,10
accum_n_distinct,vmcnt,33,2
accum_n_distinct,vmcnt,34,10
accum_n_distinct,vmcnt,35,2
accum_n_distinct,vmcnt,36,10
accum_n_distinct,vmcnt,37,2
accum_n_distinct,vmcnt,38,10
accum_n_distinct,vmcnt,39,2
accum_n_distinct,vmcnt,40,10
accum_n_distinct,vmcnt,41,2
accum_n_distinct,vmcnt,42,10
accum_n_distinct,vmcnt,43,2
accum_n_distinct,vmcnt,44,10
accum_n_distinct,vmcnt,45,2
accum_n_distinct,vmcnt,46,10
accum_n_distinct,vmcnt,47,2
accum_n_distinct,vmcnt,48,10
accum_n_distinct,vmcnt,49,2
accum_n_distinct,vmcnt,50,10
accum_n_distinct,vmcnt,51,2
accum_n_distinct,vmcnt,52,10
accum_n_distinct,vmcnt,53,2
accum_n_distinct,vmcnt,54,11
accum_n_distinct,vmcnt,55,3
accum_n_distinct,vmcnt,56,12
accum_n_distinct,vmcnt,57,10
accum_n_distinct,vmcnt,58,20
accum_n_distinct,vmcnt,59,7
accum_n_distinct,vmcnt,60,11
accum_n_distinct,vmcnt,61,7
accum_n_distinct,vmcnt,62,16
accum_n_distinct,lgkmcnt,0,125
accum_n_distinct,vscnt,0,60
loop_accum,vmcnt,0,20
loop_accum,vmcnt,1,2
loop_accum,vmcnt,2,8
loop_accum,vmcnt,3,2
loop_accum,vmcnt,4,8
loop_accum,vmcnt,5,2
loop_accum,vmcnt,6,8
loop_accum,vmcnt,7,2
loop_accum,vmcnt,8,6
loop_accum,vmcnt,10,8
loop_accum,vmcnt,12,8
loop_accum,vmcnt,14,8
loop_accum,vmcnt,16,6
loop_accum,vmcnt,18,6
loop_accum,vmcnt,20,6
loop_accum,vmcnt,22,6
loop_accum,vmcnt,24,6
loop_accum,vmcnt,26,6
loop_accum,vmcnt,28,6
loop_accum,vmcnt,30,6
loop_accum,vmcnt,32,4
loop_accum,vmcnt,34,4
loop_accum,vmcnt,36,4
loop_accum,vmcnt,38,4
loop_accum,vmcnt,40,4
loop_accum,vmcnt,42,4
loop_accum,vmcnt,44,4
loop_accum,vmcnt,46,4
loop_accum,vmcnt,48,4
loop_accum,vmcnt,50,4
loop_accum,vmcnt,52,4
loop_accum,vmcnt,54,4
loop_accum,vmcnt,56,4
loop_accum,vmcnt,58,4
loop_accum,vmcnt,60,4
loop_accum,vmcnt,62,8
loop_accum,lgkmcnt,0,20
loop_accum,vscnt,0,20
deep_chain,vmcnt,0,118
deep_chain,lgkmcnt,0,6
deep_chain,vscnt,0,6
regs_pressure,vmcnt,0,6
regs_pressure,vmcnt,1,3
regs_pressure,vmcnt,2,3
regs_pressure,vmcnt,3,3
regs_pressure,vmcnt,4,3
regs_pressure,vmcnt,5,3
regs_pressure,vmcnt,6,3
regs_pressure,vmcnt,7,3
regs_pressure,vmcnt,8,3
regs_pressure,vmcnt,9,3
regs_pressure,vmcnt,10,3
regs_pressure,vmcnt,11,3
regs_pressure,vmcnt,12,3
regs_pressure,vmcnt,13,3
regs_pressure,vmcnt,14,3
regs_pressure,vmcnt,15,3
regs_pressure,vmcnt,16,3
regs_pressure,vmcnt,17,3
regs_pressure,vmcnt,18,3
regs_pressure,vmcnt,19,3
regs_pressure,vmcnt,20,3
regs_pressure,vmcnt,21,3
regs_pressure,vmcnt,22,3
regs_pressure,vmcnt,23,3
regs_pressure,vmcnt,24,3
regs_pressure,vmcnt,25,3
regs_pressure,vmcnt,26,3
regs_pressure,vmcnt,27,2
regs_pressure,vmcnt,28,3
regs_pressure,vmcnt,29,3
regs_pressure,vmcnt,30,3
regs_pressure,vmcnt,31,3
regs_pressure,vmcnt,32,2
regs_pressure,vmcnt,33,2
regs_pressure,vmcnt,34,2
regs_pressure,vmcnt,35,2
regs_pressure,vmcnt,36,2
regs_pressure,vmcnt,37,2
regs_pressure,vmcnt,38,2
regs_pressure,vmcnt,39,2
regs_pressure,vmcnt,40,2
regs_pressure,vmcnt,41,2
regs_pressure,vmcnt,42,2
regs_pressure,vmcnt,43,2
regs_pressure,vmcnt,44,2
regs_pressure,vmcnt,45,2
regs_pressure,vmcnt,46,2
regs_pressure,vmcnt,47,2
regs_pressure,vmcnt,48,2
regs_pressure,vmcnt,49,2
regs_pressure,vmcnt,50,2
regs_pressure,vmcnt,51,2
regs_pressure,vmcnt,52,2
regs_pressure,vmcnt,53,2
regs_pressure,vmcnt,54,2
regs_pressure,vmcnt,55,2
regs_pressure,vmcnt,56,2
regs_pressure,vmcnt,57,2
regs_pressure,vmcnt,58,2
regs_pressure,vmcnt,59,1
regs_pressure,vmcnt,60,2
regs_pressure,vmcnt,61,2
regs_pressure,vmcnt,62,2
regs_pressure,lgkmcnt,0,6
regs_pressure,vscnt,0,6
rmw,vmcnt,0,48
rmw,lgkmcnt,0,48
rmw,vscnt,0,48
rmw_idx,vmcnt,0,24
rmw_idx,lgkmcnt,0,24
rmw_idx,vscnt,0,24
two_buf,vmcnt,0,12
two_buf,lgkmcnt,0,18
two_buf,vscnt,0,12
mixed_const,vmcnt,0,32
mixed_const,lgkmcnt,0,32
mixed_const,vscnt,0,32
load_compute_store,vmcnt,0,31
load_compute_store,lgkmcnt,0,11
load_compute_store,vscnt,0,6
store_chain,vmcnt,0,5
store_chain,lgkmcnt,0,17
store_chain,vscnt,0,10
store_reload,vmcnt,0,6
store_reload,lgkmcnt,0,12
store_reload,vscnt,0,12
store_then_load,vmcnt,0,1
store_then_load,lgkmcnt,0,2
store_then_load,vscnt,0,2
load_overwrite,vmcnt,0,1
load_overwrite,lgkmcnt,0,2
load_overwrite,vscnt,0,2
fanout,vmcnt,0,2
fanout,lgkmcnt,0,2
fanout,vscnt,0,2
mixed_loads,vmcnt,0,6
mixed_loads,vmcnt,1,3
mixed_loads,vmcnt,2,3
mixed_loads,vmcnt,3,3
mixed_loads,vmcnt,4,3
mixed_loads,vmcnt,5,3
mixed_loads,vmcnt,6,3
mixed_loads,vmcnt,7,2
mixed_loads,vmcnt,8,2
mixed_loads,vmcnt,9,2
mixed_loads,vmcnt,10,2
mixed_loads,vmcnt,11,2
mixed_loads,vmcnt,12,2
mixed_loads,vmcnt,13,2
mixed_loads,vmcnt,14,2
mixed_loads,vmcnt,15,1
mixed_loads,vmcnt,16,1
mixed_loads,vmcnt,17,1
mixed_loads,vmcnt,18,1
mixed_loads,vmcnt,19,1
mixed_loads,vmcnt,20,1
mixed_loads,vmcnt,21,1
mixed_loads,vmcnt,22,1
mixed_loads,vmcnt,23,1
mixed_loads,vmcnt,24,1
mixed_loads,vmcnt,25,1
mixed_loads,vmcnt,26,1
mixed_loads,vmcnt,27,1
mixed_loads,vmcnt,28,1
mixed_loads,vmcnt,29,1
mixed_loads,vmcnt,30,1
mixed_loads,lgkmcnt,0,12
mixed_loads,lgkmcnt,1,3
mixed_loads,lgkmcnt,2,3
mixed_loads,lgkmcnt,3,9
mixed_loads,lgkmcnt,4,15
mixed_loads,lgkmcnt,5,7
mixed_loads,lgkmcnt,6,4
mixed_loads,lgkmcnt,7,7
mixed_loads,lgkmcnt,8,2
mixed_loads,vscnt,0,6
